country,date,new_cases,total_cases,new_deaths,total_deaths,new_cases_7_day_avg_right,new_deaths_7_day_avg_right,new_cases_per_million,new_deaths_per_million,total_cases_per_million,total_deaths_per_million,weekly_cases,weekly_deaths,weekly_pct_growth_cases,weekly_pct_growth_deaths,cfr,population,year,month,day_of_week,quarter,season,new_cases_per_100k,new_deaths_per_100k,cases_lag_7d,cases_lag_14d,cases_lag_21d,cases_ma_30d,disease,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million
Kazakhstan,2020-01-04,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,20592571.0,2020,1,5,1,winter,0.0,0.0,,,,,covid,,,
Kazakhstan,2020-01-05,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,20592571.0,2020,1,6,1,winter,0.0,0.0,,,,,covid,,,
Kazakhstan,2020-01-06,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,20592571.0,2020,1,0,1,winter,0.0,0.0,,,,,covid,,,
Kazakhstan,2020-01-07,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,20592571.0,2020,1,1,1,winter,0.0,0.0,,,,,covid,,,
Kazakhstan,2020-01-08,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,20592571.0,2020,1,2,1,winter,0.0,0.0,,,,,covid,,,
Kazakhstan,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,3,1,winter,0.0,0.0,,,,0.0,covid,,,
Kazakhstan,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,4,1,winter,0.0,0.0,,,,0.0,covid,,,
Kazakhstan,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,5,1,winter,0.0,0.0,,,,0.0,covid,,,
Kazakhstan,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,6,1,winter,0.0,0.0,,,,0.0,covid,,,
Kazakhstan,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,0,1,winter,0.0,0.0,,,,0.0,covid,,,
Kazakhstan,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,1,1,winter,0.0,0.0,,,,0.0,covid,,,
Kazakhstan,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,2,1,winter,0.0,0.0,,,,0.0,covid,,,
Kazakhstan,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,3,1,winter,0.0,0.0,0.0,,,0.0,covid,,,
Kazakhstan,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,4,1,winter,0.0,0.0,0.0,,,0.0,covid,,,
Kazakhstan,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,5,1,winter,0.0,0.0,0.0,,,0.0,covid,,,
Kazakhstan,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,6,1,winter,0.0,0.0,0.0,,,0.0,covid,,,
Kazakhstan,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,0,1,winter,0.0,0.0,0.0,,,0.0,covid,,,
Kazakhstan,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,1,1,winter,0.0,0.0,0.0,,,0.0,covid,,,
Kazakhstan,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,2,1,winter,0.0,0.0,0.0,,,0.0,covid,,,
Kazakhstan,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,3,1,winter,0.0,0.0,0.0,0.0,,0.0,covid,,,
Kazakhstan,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,4,1,winter,0.0,0.0,0.0,0.0,,0.0,covid,,,
Kazakhstan,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,5,1,winter,0.0,0.0,0.0,0.0,,0.0,covid,,,
Kazakhstan,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,6,1,winter,0.0,0.0,0.0,0.0,,0.0,covid,,,
Kazakhstan,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,0,1,winter,0.0,0.0,0.0,0.0,,0.0,covid,,,
Kazakhstan,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,1,1,winter,0.0,0.0,0.0,0.0,,0.0,covid,,,
Kazakhstan,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,2,1,winter,0.0,0.0,0.0,0.0,,0.0,covid,,,
Kazakhstan,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,3,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,1,4,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,5,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,6,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,0,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,2,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,3,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,4,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,5,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,6,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,0,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
Kazakhstan,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20592571.0,2020,2,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0,covid,,,
